title,body,labels,dependencies,estimate
"MVP-CORE-02 MVP Core — Seed COA PY","Description: Seed data de plan de cuentas PY en core.\n\nAcceptance criteria:\n- COA PY existente y válida; validaciones de integridad.","backlog;mvp","MVP-CORE-01","3-4d"
"MVP-CORE-03 MVP Core — Ingesta XML SIFEN (parser)","Description: Parser básico de XML SIFEN y mapeo a journal_entries/journal_lines.\n\nAcceptance criteria:\n- XML de ejemplo parseado correctamente, asientos generados balanceados.","backlog;mvp","MVP-CORE-02","7-10d"
"MVP-CORE-04 MVP Core — Propuesta IA (revisión humana)","Description: IA genera propuestas y UI de revisión con score y rationale.\n\nAcceptance criteria:\n- Propuestas IA con score y rationale visibles; humano puede aprobar/rechazar.","backlog;mvp","MVP-CORE-03;FND-06","6-8d"
"MVP-CORE-05 MVP Core — Publicación de asientos (Idempotency)","Description: Publicar asientos con Idempotency-Key; balance por moneda/base.\n\nAcceptance criteria:\n- Asientos publicados correctamente; idempotente; sumas balanceadas.","backlog;mvp","MVP-CORE-04","5-7d"
"MVP-CORE-06 MVP Core — Libros contables","Description: Libro IVA, Diario, Mayor (consultas básicas).\n\nAcceptance criteria:\n- Consultas de libros disponibles y correctas en MVP.","backlog;mvp","MVP-CORE-05","6-8d"
"MVP-CORE-07 MVP Core — Formularios fiscales iniciales","Description: Generación/validación de 104/106, 500v3, 501v2, 502, 515/516, 525, 526.\n\nAcceptance criteria:\n- Formularios generados en escenarios MVP; validaciones básicas.","backlog;mvp","MVP-CORE-06","8-12d"
"MVP-CORE-08 MVP Core — Hechauka y dashboard de obligaciones","Description: Hechauka mensual y dashboard de obligaciones.\n\nAcceptance criteria:\n- Hechauka generado y visible; dashboard muestra obligaciones/vencimientos.","backlog;mvp","MVP-CORE-07","5-7d"
"IA-EP-01 IA — ai_decisions model","Description: Crear esquema ai_decisions y almacenamiento de decisiones IA.\n\nAcceptance criteria:\n- Estructura de ai_decisions creada y poblable.","backlog;ia","FND-06","3-4d"
"IA-EP-02 IA — Bucle de aprendizaje (feedback humano)","Description: Definir flujo para incorporar feedback humano y mejoras IA.\n\nAcceptance criteria:\n- Proceso para actualizar scores basados en aprobaciones/rechazos.","backlog;ia","IA-EP-01","4-6d"
"IA-EP-03 IA — UI de revisión de IA","Description: Pantalla para revisar propuestas IA con razonamientos y fuentes.\n\nAcceptance criteria:\n- UI funcional; registrar decisiones.","backlog;ia","MVP-CORE-04","5-7d"
"SEC-01 Seguridad — RBAC y pruebas de acceso","Description: Definir roles, permisos y tests de RBAC/RLS.\n\nAcceptance criteria:\n- Tests de acceso entre entidades; permisos correctos.","backlog;security","FND-03","4-6d"
"SEC-02 Compliance — Validaciones must-have (timbrado, SIFEN, DNIT)","Description: Incorporar validaciones y tests para timbrado, CDC SIFEN y DNIT.\n\nAcceptance criteria:\n- Tests end-to-end que cubren validaciones críticas.","backlog;security","MVP-CORE-07","6-8d"
"SEC-03 Auditoría — Auditoría y reversión","Description: audit_events; soporte para reversalOf y versionOf.\n\nAcceptance criteria:\n- Registro de auditoría para cambios; soporte de reversión de asientos.","backlog;security","MVP-CORE-05","4-6d"
"OBS-01 Observabilidad — Monitoreo y dashboards","Description: Dashboards básicos con Sentry + PostHog; métricas clave.\n\nAcceptance criteria:\n- Dashboards disponibles en staging/producción; logs visibles.","backlog;observability","FND-08","3-5d"
"OBS-02 CI/CD y quality gates","Description: Pipeline CI con lint/typecheck/tests; despliegue a GitHub Pages / Vercel.\n\nAcceptance criteria:\n- Checks obligatorios en PRs; build y test pasan.","backlog;observability","OBS-01;FND-05","4-6d"
"OBS-03 Documentación MVP","Description: Documentación de arquitectura, guías de despliegue.\n\nAcceptance criteria:\n- README actualizado; guías de despliegue para frontend y backend.","backlog;observability","FND-01","2-4d"
"REL-01 Release — Versionado de API y crecimiento","Description: Política de versiones y migración.\n\nAcceptance criteria:\n- Roadmap de versiones; ruta de migración definida.","backlog;release","MVP-CORE","3-5d"
"REL-02 Release — Pruebas E2E y rendimiento","Description: Plan de pruebas E2E y rendimiento para crecimiento.\n\nAcceptance criteria:\n- Plan de pruebas E2E documentado; escenarios críticos cubiertos.","backlog;release","REL-01","4-6d"
"REL-03 Release — Plan de escalabilidad operativa","Description: Estrategia de escalabilidad y migración futura.\n\nAcceptance criteria:\n- Documento de escalabilidad con criterios de activación.","backlog;release","REL-02","2-4d"
